Element, vertices.x, vertices.y, vertices.z, vertices.w
528,  6.83793,  0.00, -0.59073,  0.00
529,  6.85255,  0.00, -0.58555,  0.00
530,  6.86611,  0.00, -0.57848,  0.00
531,  6.87851,  0.00, -0.56964,  0.00
532,  6.88963,  0.00, -0.55913,  0.00
533,  6.89935,  0.00, -0.54705,  0.00
534,  6.90755,  0.00, -0.53352,  0.00
535,  6.91414,  0.00, -0.51864,  0.00
536,  6.91899,  0.00, -0.50252,  0.00
537,  6.92198,  0.00, -0.48527,  0.00
538,  6.923,  0.00, -0.467,  0.00
539,  6.92267,  0.00, -0.4532,  0.00
540,  6.92167,  0.00, -0.44021,  0.00
541,  6.92,  0.00, -0.42788,  0.00
542,  6.91767,  0.00, -0.41604,  0.00
543,  6.91467,  0.00, -0.40455,  0.00
544,  6.911,  0.00, -0.39325,  0.00
545,  6.90667,  0.00, -0.38199,  0.00
546,  6.90167,  0.00, -0.37063,  0.00
547,  6.896,  0.00, -0.359,  0.00
548,  6.88966,  0.00, -0.34695,  0.00
549,  6.88267,  0.00, -0.33434,  0.00
550,  6.875,  0.00, -0.321,  0.00
551,  6.85959,  0.00, -0.29576,  0.00
552,  6.84252,  0.00, -0.26969,  0.00
553,  6.82405,  0.00, -0.24297,  0.00
554,  6.80444,  0.00, -0.21581,  0.00
555,  6.78397,  0.00, -0.18843,  0.00
556,  6.76288,  0.00, -0.161,  0.00
557,  6.74143,  0.00, -0.13374,  0.00
558,  6.71989,  0.00, -0.10685,  0.00
559,  6.69852,  0.00, -0.08053,  0.00
560,  6.67757,  0.00, -0.05498,  0.00
561,  6.65731,  0.00, -0.0304,  0.00
562,  6.638,  0.00, -0.007,  0.00
563,  6.638,  0.00,  0.00,  0.00
564,  7.07,  0.00,  0.00,  0.00
565,  6.185,  0.00, -0.569,  0.00
566,  6.19645,  0.00, -0.57398,  0.00
567,  6.20734,  0.00, -0.57844,  0.00
568,  6.21775,  0.00, -0.58239,  0.00
569,  6.22774,  0.00, -0.58585,  0.00
570,  6.23738,  0.00, -0.58884,  0.00
571,  6.24675,  0.00, -0.59137,  0.00
572,  6.25591,  0.00, -0.59347,  0.00
573,  6.26493,  0.00, -0.59515,  0.00
574,  6.27388,  0.00, -0.59642,  0.00
575,  6.28282,  0.00, -0.59731,  0.00
576,  6.29184,  0.00, -0.59783,  0.00
577,  6.301,  0.00, -0.598,  0.00
578,  6.31845,  0.00, -0.5972,  0.00
579,  6.33474,  0.00, -0.59482,  0.00
580,  6.34982,  0.00, -0.59092,  0.00
581,  6.36359,  0.00, -0.58556,  0.00
